q,p,deg_p,class_count,U,E,levels_scanned,incomplete_levels,largest_incomplete_degree,vectors_visited,result_directory,result_file
3,T^5 + T^2 + T + 2,5,31,10,8,3501,147,7,808320800,results/q3_degree5,p_T5_T2_T_2.json
3,T^5 + T^3 + 2*T^2 + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T3_2_T2_1.json
3,T^5 + T^3 + 2*T^2 + 2*T + 1,5,31,10,8,3501,143,7,808320800,results/q3_degree5,p_T5_T3_2_T2_2_T_1.json
3,T^5 + T^3 + T + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T3_T_1.json
3,T^5 + T^3 + T + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T3_T_2.json
3,T^5 + T^3 + T^2 + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T3_T2_2.json
3,T^5 + T^3 + T^2 + 2*T + 2,5,31,10,8,3501,143,7,808320800,results/q3_degree5,p_T5_T3_T2_2_T_2.json
3,T^5 + T^4 + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T4_2.json
3,T^5 + T^4 + 2*T + 1,5,31,10,8,3501,134,7,808320800,results/q3_degree5,p_T5_T4_2_T_1.json
3,T^5 + T^4 + 2*T^3 + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T4_2_T3_1.json
3,T^5 + T^4 + 2*T^3 + 2*T + 2,5,31,10,8,3501,143,7,808320800,results/q3_degree5,p_T5_T4_2_T3_2_T_2.json
3,T^5 + T^4 + 2*T^3 + 2*T^2 + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T4_2_T3_2_T2_1.json
3,T^5 + T^4 + 2*T^3 + 2*T^2 + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T4_2_T3_2_T2_2.json
3,T^5 + T^4 + 2*T^3 + T^2 + 2,5,31,10,8,3501,143,7,808320800,results/q3_degree5,p_T5_T4_2_T3_T2_2.json
3,T^5 + T^4 + 2*T^3 + T^2 + T + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T4_2_T3_T2_T_1.json
3,T^5 + T^4 + T + 2,5,31,10,8,3501,154,7,808320800,results/q3_degree5,p_T5_T4_T_2.json
3,T^5 + T^4 + T^2 + 1,5,31,10,8,3501,134,7,808320800,results/q3_degree5,p_T5_T4_T2_1.json
3,T^5 + T^4 + T^2 + 2*T + 2,5,31,10,8,3501,154,7,808320800,results/q3_degree5,p_T5_T4_T2_2_T_2.json
3,T^5 + T^4 + T^2 + T + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T4_T2_T_1.json
3,T^5 + T^4 + T^3 + 2*T^2 + T + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T4_T3_2_T2_T_1.json
3,T^5 + T^4 + T^3 + 2*T^2 + T + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_T4_T3_2_T2_T_2.json
3,T^5 + T^4 + T^3 + T + 1,5,31,10,8,3501,147,7,808320800,results/q3_degree5,p_T5_T4_T3_T_1.json
3,T^5 + T^4 + T^3 + T^2 + 2*T + 1,5,31,10,8,3501,147,7,808320800,results/q3_degree5,p_T5_T4_T3_T2_2_T_1.json
4,T,1,1,1,1,0,0,,0,results/q4,p_T.json
4,T + 1,1,1,1,1,0,0,,0,results/q4,p_T_1.json
4,T + a,1,1,1,1,0,0,,0,results/q4,p_T_a.json
4,T + a + 1,1,1,1,1,0,0,,0,results/q4,p_T_ap1.json
4,T^2 + (a + 1)*T + 1,2,1,1,1,0,0,,0,results/q4,p_T2_ap1_T_1.json
4,T^2 + (a + 1)*T + a + 1,2,1,1,1,0,0,,0,results/q4,p_T2_ap1_T_ap1.json
4,T^2 + T + a,2,1,1,1,0,0,,0,results/q4,p_T2_T_a.json
4,T^2 + T + a + 1,2,1,1,1,0,0,,0,results/q4,p_T2_T_ap1.json
4,T^2 + a*T + 1,2,1,1,1,0,0,,0,results/q4,p_T2_a_T_1.json
4,T^2 + a*T + a,2,1,1,1,0,0,,0,results/q4,p_T2_a_T_a.json
4,T^3 + (a + 1)*T + 1,3,5,6,6,293,22,5,1085415,results/q4,p_T3_ap1_T_1.json
4,T^3 + (a + 1)*T^2 + (a + 1)*T + a + 1,3,5,6,6,293,22,5,1085415,results/q4,p_T3_ap1_T2_ap1_T_ap1.json
