q,p,deg_p,class_count,U,E,levels_scanned,incomplete_levels,largest_incomplete_degree,vectors_visited,result_directory,result_file
4,T^3 + (a + 1)*T^2 + 1,3,5,6,6,293,22,5,1085415,results/q4,p_T3_ap1_T2_1.json
4,T^3 + (a + 1)*T^2 + T + a,3,5,6,6,293,22,5,1085415,results/q4,p_T3_ap1_T2_T_a.json
4,T^3 + (a + 1)*T^2 + a*T + a,3,5,6,4,293,22,3,1085415,results/q4,p_T3_ap1_T2_a_T_a.json
4,T^3 + (a + 1)*T^2 + a*T + a + 1,3,5,6,4,293,22,3,1085415,results/q4,p_T3_ap1_T2_a_T_ap1.json
4,T^3 + T + 1,3,5,6,6,293,22,5,1085415,results/q4,p_T3_T_1.json
4,T^3 + T^2 + (a + 1)*T + a,3,5,6,6,293,22,5,1085415,results/q4,p_T3_T2_ap1_T_a.json
4,T^3 + T^2 + 1,3,5,6,6,293,22,5,1085415,results/q4,p_T3_T2_1.json
4,T^3 + T^2 + T + a,3,5,6,4,293,22,3,1085415,results/q4,p_T3_T2_T_a.json
4,T^3 + T^2 + T + a + 1,3,5,6,4,293,22,3,1085415,results/q4,p_T3_T2_T_ap1.json
4,T^3 + T^2 + a*T + a + 1,3,5,6,6,293,22,5,1085415,results/q4,p_T3_T2_a_T_ap1.json
4,T^3 + a,3,5,6,4,293,22,3,1085415,results/q4,p_T3_a.json
4,T^3 + a + 1,3,5,6,4,293,22,3,1085415,results/q4,p_T3_ap1.json
4,T^3 + a*T + 1,3,5,6,6,293,22,5,1085415,results/q4,p_T3_a_T_1.json
4,T^3 + a*T^2 + (a + 1)*T + a,3,5,6,4,293,22,3,1085415,results/q4,p_T3_a_T2_ap1_T_a.json
4,T^3 + a*T^2 + (a + 1)*T + a + 1,3,5,6,4,293,22,3,1085415,results/q4,p_T3_a_T2_ap1_T_ap1.json
4,T^3 + a*T^2 + 1,3,5,6,6,293,22,5,1085415,results/q4,p_T3_a_T2_1.json
4,T^3 + a*T^2 + T + a + 1,3,5,6,6,293,22,5,1085415,results/q4,p_T3_a_T2_T_ap1.json
4,T^3 + a*T^2 + a*T + a,3,5,6,6,293,22,5,1085415,results/q4,p_T3_a_T2_a_T_a.json
4,T^4 + (a + 1)*T^2 + (a + 1)*T + a,4,17,5,4,89,30,3,4734687,results/q4,p_T4_ap1_T2_ap1_T_a.json
4,T^4 + (a + 1)*T^2 + (a + 1)*T + a + 1,4,17,5,4,89,30,3,4734687,results/q4,p_T4_ap1_T2_ap1_T_ap1.json
4,T^4 + (a + 1)*T^2 + a*T + 1,4,17,5,4,89,30,3,4734687,results/q4,p_T4_ap1_T2_a_T_1.json
4,T^4 + (a + 1)*T^2 + a*T + a,4,17,5,4,89,30,3,4734687,results/q4,p_T4_ap1_T2_a_T_a.json
4,T^4 + (a + 1)*T^3 + (a + 1)*T + a + 1,4,17,5,5,89,30,4,4734687,results/q4,p_T4_ap1_T3_ap1_T_ap1.json
4,T^4 + (a + 1)*T^3 + (a + 1)*T^2 + T + a + 1,4,17,5,5,89,30,4,4734687,results/q4,p_T4_ap1_T3_ap1_T2_T_ap1.json
4,T^4 + (a + 1)*T^3 + (a + 1)*T^2 + a,4,17,5,5,89,30,4,4734687,results/q4,p_T4_ap1_T3_ap1_T2_a.json
4,T^4 + (a + 1)*T^3 + (a + 1)*T^2 + a*T + 1,4,17,5,5,89,31,4,4734687,results/q4,p_T4_ap1_T3_ap1_T2_a_T_1.json
4,T^4 + (a + 1)*T^3 + (a + 1)*T^2 + a*T + a,4,17,5,5,89,31,4,4734687,results/q4,p_T4_ap1_T3_ap1_T2_a_T_a.json
4,T^4 + (a + 1)*T^3 + T + 1,4,17,5,5,89,31,4,4734687,results/q4,p_T4_ap1_T3_T_1.json
4,T^4 + (a + 1)*T^3 + T + a,4,17,5,5,89,31,4,4734687,results/q4,p_T4_ap1_T3_T_a.json
4,T^4 + (a + 1)*T^3 + T^2 + (a + 1)*T + 1,4,17,5,5,89,31,4,4734687,results/q4,p_T4_ap1_T3_T2_ap1_T_1.json
4,T^4 + (a + 1)*T^3 + T^2 + (a + 1)*T + a,4,17,5,5,89,31,4,4734687,results/q4,p_T4_ap1_T3_T2_ap1_T_a.json
4,T^4 + (a + 1)*T^3 + T^2 + 1,4,17,5,5,89,30,4,4734687,results/q4,p_T4_ap1_T3_T2_1.json
4,T^4 + (a + 1)*T^3 + T^2 + T + a + 1,4,17,5,5,89,30,4,4734687,results/q4,p_T4_ap1_T3_T2_T_ap1.json
4,T^4 + (a + 1)*T^3 + a*T + a + 1,4,17,5,5,89,30,4,4734687,results/q4,p_T4_ap1_T3_a_T_ap1.json
4,T^4 + (a + 1)*T^3 + a*T^2 + (a + 1)*T + a,4,17,5,5,89,30,4,4734687,results/q4,p_T4_ap1_T3_a_T2_ap1_T_a.json
4,T^4 + (a + 1)*T^3 + a*T^2 + 1,4,17,5,5,89,31,4,4734687,results/q4,p_T4_ap1_T3_a_T2_1.json
4,T^4 + (a + 1)*T^3 + a*T^2 + a,4,17,5,5,89,31,4,4734687,results/q4,p_T4_ap1_T3_a_T2_a.json
4,T^4 + (a + 1)*T^3 + a*T^2 + a*T + 1,4,17,5,5,89,30,4,4734687,results/q4,p_T4_ap1_T3_a_T2_a_T_1.json
4,T^4 + T^2 + (a + 1)*T + 1,4,17,5,4,89,30,3,4734687,results/q4,p_T4_T2_ap1_T_1.json
